"CODI_ESTACIO","NOM_ESTACIO","CODI_TIPUS","LATITUD","LONGITUD","Georeferència","EMPLACAMENT","ALTITUD","CODI_MUNICIPI","NOM_MUNICIPI","CODI_COMARCA","NOM_COMARCA","CODI_PROVINCIA","NOM_PROVINCIA","CODI_XARXA","NOM_XARXA","CODI_ESTAT","NOM_ESTAT","DATA_ALTA","DATA_BAIXA"
"X3","Alguaire","A","41,74281","0,5358","POINT (0.5358 41.74281)","Aeròdrom","370","250169","Alguaire","33","Segrià","25","Lleida","1","XEMA","2","Operativa","02/06/2006",
"WH","Bellvís","A","41,67342","0,8129","POINT (0.8129 41.67342)","Molí de Balaguer, crta. de Térmens","196","250523","Bellvís","27","Pla d'Urgell","25","Lleida","1","XEMA","1","Desmantellada","17/09/1997","17/11/2004"
"ZE","el Port del Comte (2.290 m)","A","42,19088","1,53207","POINT (1.53207 42.19088)","Port del Comte - Estivella","2,290","251636","La Coma i la Pedra","35","Solsonès","25","Lleida","1","XEMA","2","Operativa","21/09/2023",
"UL","Castelldans","A","41,52911","0,75303","POINT (0.75303 41.52911)","Mas de St. Jaume, crta. de Castelldans a Puigvert","228","250674","Castelldans","18","Garrigues","25","Lleida","1","XEMA","1","Desmantellada","16/09/1997","21/02/2017"
"CT","el Pont de Suert","A","42,39811","0,74362","POINT (0.74362 42.39811)","Depuradora municipal","823","251734","El Pont de Suert","5","Alta Ribagorça","25","Lleida","1","XEMA","2","Operativa","14/02/1996",
"MR","Pantà de Siurana","A","41,25079","0,9106","POINT (0.9106 41.25079)","Pantà de Siurana - Xalet del Pantà","500","430496","Cornudella de Montsant","29","Priorat","43","Tarragona","1","XEMA","2","Operativa","08/11/2010",
"YO","Sant Sadurní d'Anoia","A","41,43531","1,79324","POINT (1.79324 41.43531)","Camp de civada entre vinyes","155","82401","Sant Sadurní d'Anoia","3","Alt Penedès","8","Barcelona","1","XEMA","2","Operativa","07/05/2021",
"CK","Santa Coloma de Farners","A","41,86472","2,66451","POINT (2.66451 41.86472)","Dipòsit d'aigua","163","171805","Santa Coloma de Farners","34","Selva","17","Girona","1","XEMA","1","Desmantellada","05/02/1996","08/06/2004"
"XA","la Panadella","A","41,60257","1,4007","POINT (1.4007 41.60257)","La Creu del Vent","785","81332","Montmaneu","6","Anoia","8","Barcelona","1","XEMA","2","Operativa","18/12/2008",
"WS","Viladrau","A","41,84008","2,41877","POINT (2.41877 41.84008)","Mas Vilarmau","953","172207","Viladrau","24","Osona","17","Girona","1","XEMA","2","Operativa","17/03/2005",
"ZB","Salòria (2.451 m)","A","42,51939","1,36597","POINT (1.36597 42.51939)","Salòria","2,451","250175","Alins","26","Pallars Sobirà","25","Lleida","1","XEMA","2","Operativa","30/09/2004",
"J5","Pantà de Darnius - Boadella","A","42,34215","2,83423","POINT (2.83423 42.34215)","Presa del Pantà de Darnius - Boadella","158","170600","Darnius","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","05/01/1996",
"WV","Guardiola de Berguedà","A","42,23414","1,87485","POINT (1.87485 42.23414)","Monestir de Sant Llorenç prop Bagà","788","80996","Guardiola de Berguedà","14","Berguedà","8","Barcelona","1","XEMA","2","Operativa","28/11/2005",
"ZD","la Tosa d'Alp (2.478 m)","A","42,32211","1,89716","POINT (1.89716 42.32211)","Tosa d'Alp","2,478","170062","Alp","15","Cerdanya","17","Girona","1","XEMA","2","Operativa","04/09/2014",
"V7","Embassament de Sau","A","41,97554","2,39837","POINT (2.39837 41.97554)","Embassament de Sau. Club Nàutic.","435","83036","Vilanova de Sau","24","Osona","8","Barcelona","1","XEMA","1","Desmantellada","20/05/1997","02/05/2006"
"CO","Torres de Segre - Depuradora","A","41,52603","0,52711","POINT (0.52711 41.52603)","Depuradora municipal","143.6","252326","Torres de Segre","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","23/11/1995","25/05/2006"
"XQ","Tremp","A","42,16252","0,88814","POINT (0.88814 42.16252)","Conillera de Joncar","473","252347","Tremp","25","Pallars Jussà","25","Lleida","1","XEMA","2","Operativa","22/10/2012",
"X1","Falset","A","41,15374","0,81953","POINT (0.81953 41.15374)","Abocador comarcal. Crta de Porrera","359","430555","Falset","29","Priorat","43","Tarragona","1","XEMA","2","Operativa","20/12/2006",
"V9","Miralcamp","A","41,61333","0,87608","POINT (0.87608 41.61333)","Partida la Boletera","256","251351","Miralcamp","27","Pla d'Urgell","25","Lleida","1","XEMA","1","Desmantellada","26/09/1997","01/02/2010"
"DO","Castell d'Aro","A","41,80857","3,03241","POINT (3.03241 41.80857)","Parc de Bombers","14","170486","Castell d'Aro, Platja d'Aro i s'Agaró","10","Baix Empordà","17","Girona","1","XEMA","2","Operativa","10/05/2001",
"ZC","Ulldeter (2.413 m)","A","42,42102","2,24593","POINT (2.24593 42.42102)","Ulldeter","2,413","171925","Setcases","31","Ripollès","17","Girona","1","XEMA","2","Operativa","28/09/2011",
"U5","Prades - los Hortals","A","41,31349","0,99611","POINT (0.99611 41.31349)","Finca los Hortals","969","431166","Prades","8","Baix Camp","43","Tarragona","1","XEMA","1","Desmantellada","12/12/1995","31/01/2013"
"XR","Prades","A","41,31481","0,98161","POINT (0.98161 41.31481)","La Comanda","926","431166","Prades","8","Baix Camp","43","Tarragona","1","XEMA","2","Operativa","31/01/2013",
"VJ","Lleida - pla de Lleida","A","41,59957","0,6478","POINT (0.6478 41.59957)","C. Pla de Lleida, 10 - Bordeta","161","251207","Lleida","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","16/09/1997","24/07/2013"
"UA","l'Ametlla de Mar","A","40,9091","0,76943","POINT (0.76943 40.9091)","Caseta d'en Butxaca","93","430136","L'Ametlla de Mar","9","Baix Ebre","43","Tarragona","1","XEMA","2","Operativa","29/08/1995",
"W4","Vilafranca del Penedès - la Granada","A","41,36619","1,72857","POINT (1.72857 41.36619)","Rasa de Sagols","240","83054","Vilafranca del Penedès","3","Alt Penedès","8","Barcelona","1","XEMA","2","Operativa","25/12/1999",
"Y5","Navata","A","42,22793","2,86295","POINT (2.86295 42.22793)","Can Tries","152","171117","Navata","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","26/08/2014",
"VN","Vilobí d'Onyar","A","41,88244","2,74262","POINT (2.74262 41.88244)","Camps de Can Salvà","117","172333","Vilobí d'Onyar","34","Selva","17","Girona","1","XEMA","1","Desmantellada","10/11/1998","10/09/2024"
"DN","Anglès","A","41,96095","2,63108","POINT (2.63108 41.96095)","Poliesportiu municipal","150","170084","Anglès","34","Selva","17","Girona","1","XEMA","2","Operativa","10/05/2001",
"D9","el Vendrell","A","41,21553","1,52121","POINT (1.52121 41.21553)","Instal·lacions esportives municipals","59","431634","El Vendrell","12","Baix Penedès","43","Tarragona","1","XEMA","2","Operativa","11/06/1999",
"UN","Cassà de la Selva","A","41,87449","2,92694","POINT (2.92694 41.87449)","Finca Mas Bassets","171","170448","Cassà de la Selva","20","Gironès","17","Girona","1","XEMA","2","Operativa","08/03/1993",
"CW","l'Espluga de Francolí","A","41,39241","1,09894","POINT (1.09894 41.39241)","Urb. Espluga Parc","446","430542","L'Espluga de Francolí","16","Conca de Barberà","43","Tarragona","1","XEMA","2","Operativa","23/02/1996",
"CE","els Hostalets de Pierola","A","41,53109","1,80813","POINT (1.80813 41.53109)","Abocador de residus","316","81629","Els Hostalets de Pierola","6","Anoia","8","Barcelona","1","XEMA","2","Operativa","31/03/1996",
"VF","Alcarràs - Torrent d'Alcarràs","A","41,56482","0,54999","POINT (0.54999 41.56482)","Partida Graminella","122","250117","Alcarràs","33","Segrià","25","Lleida","1","XEMA","1","Desmantellada","17/09/1997","31/07/2013"
"XV","Sant Cugat del Vallès - CAR","A","41,48311","2,07956","POINT (2.07956 41.48311)","Centre d'Alt Rendiment","158","82055","Sant Cugat del Vallès","40","Vallès Occidental","8","Barcelona","1","XEMA","2","Operativa","08/08/2013",
"V6","Viladrau - Aigües de Viladrau","A","41,84256","2,42636","POINT (2.42636 41.84256)","Camí vell de Viladrau, s/n","871","170097","Arbúcies","34","Selva","17","Girona","1","XEMA","1","Desmantellada","03/10/1995","29/03/2005"
"DD","Vilassar de Mar","A","41,51175","2,38674","POINT (2.38674 41.51175)","Soc.Civil d'Aigües ""La Mina Vella""","44.5","82191","Vilassar de Mar","21","Maresme","8","Barcelona","1","XEMA","1","Desmantellada","04/05/1998","16/01/2015"
"CH","Falset - Escola","A","41,15076","0,82357","POINT (0.82357 41.15076)","Col·legi Públic Antoni Vilanova","350","430555","Falset","29","Priorat","43","Tarragona","1","XEMA","1","Desmantellada","01/12/1995","05/07/2005"
"Y6","Tivissa","A","41,04343","0,74032","POINT (0.74032 41.04343)","-","317","431508","Tivissa","30","Ribera d'Ebre","43","Tarragona","1","XEMA","2","Operativa","26/03/2015",
"V4","Montesquiu","A","42,11477","2,21483","POINT (2.21483 42.11477)","Castell de Montesquiu","684","81311","Montesquiu","24","Osona","8","Barcelona","1","XEMA","2","Operativa","02/12/1998",
"VR","Tornabous - Montargull","A","41,68994","1,04401","POINT (1.04401 41.68994)","Masia Mignot","291","252252","Tornabous","38","Urgell","25","Lleida","1","XEMA","1","Desmantellada","17/09/1997","06/08/2013"
"U8","Punta del Fangar","A","40,78653","0,74264","POINT (0.74264 40.78653)","Punta del Fangar","0","439018","Deltebre","9","Baix Ebre","43","Tarragona","1","XEMA","1","Desmantellada","30/04/1992","19/02/2009"
"DL","Illa de Buda","A","40,70719","0,83449","POINT (0.83449 40.70719)","Mas de Buda","0.5","439023","Sant Jaume d'Enveja","22","Montsià","43","Tarragona","1","XEMA","2","Operativa","14/07/1999",
"D1","Margalef","A","41,28521","0,75383","POINT (0.75383 41.28521)","Dipòsit d'aigua","404","430751","Margalef","29","Priorat","43","Tarragona","1","XEMA","2","Operativa","14/01/1996",
"DI","Font-rubí","A","41,43292","1,62386","POINT (1.62386 41.43292)","Masia Ca l'Amàlia - Montjuic","415","80850","Font-rubí","3","Alt Penedès","8","Barcelona","1","XEMA","2","Operativa","16/07/1998",
"VA","Ascó","A","41,1964","0,51101","POINT (0.51101 41.1964)","Camí de la Serra de les Moncas","256","430192","Ascó","30","Ribera d'Ebre","43","Tarragona","1","XEMA","2","Operativa","15/06/1998",
"VH","Gimenells","A","41,65825","0,3932","POINT (0.3932 41.65825)","IRTA - Estació de Gimenells","260","259123","Gimenells i el Pla de la Font","33","Segrià","25","Lleida","1","XEMA","2","Operativa","10/12/1996",
"W1","Castelló d'Empúries","A","42,24726","3,09021","POINT (3.09021 42.24726)","Can Garriga - Mas Bellesguard","2","170470","Castelló d'Empúries","2","Alt Empordà","17","Girona","1","XEMA","2","Operativa","14/03/2000",
"CA","Clariana de Cardener","A","41,95378","1,5851","POINT (1.5851 41.95378)","Abocador comarcal","693","250753","Clariana de Cardener","35","Solsonès","25","Lleida","1","XEMA","1","Desmantellada","02/05/1996","10/07/2012"
"W5","Oliana","A","42,07683","1,31489","POINT (1.31489 42.07683)","Partida Esclotes","490","251497","Oliana","4","Alt Urgell","25","Lleida","1","XEMA","2","Operativa","22/06/2000",
"XP","Gandesa","A","41,06564","0,43006","POINT (0.43006 41.06564)","IRTA UETA Gandesa","350","430640","Gandesa","37","Terra Alta","43","Tarragona","1","XEMA","2","Operativa","30/11/2011",
"UQ","Dosrius - PN Montnegre Corredor","A","41,61991","2,44532","POINT (2.44532 41.61991)","Parc Natural del Corredor. Masia Can Bosc","460","80752","Dosrius","21","Maresme","8","Barcelona","1","XEMA","2","Operativa","09/08/1996",
"C9","Mas de Barberans","A","40,71825","0,39988","POINT (0.39988 40.71825)","Abocador comarcal","240","430770","Mas de Barberans","22","Montsià","43","Tarragona","1","XEMA","2","Operativa","11/04/1997",
"KX","la Roca del Vallès - ETAP Cardedeu","A","41,61865","2,36114","POINT (2.36114 41.61865)","Planta tractament d'Aigües Ter - Llobregat","156","81810","La Roca del Vallès","41","Vallès Oriental","8","Barcelona","1","XEMA","2","Operativa","05/01/1996",
"UV","Mas de Barberans - Mitanplana","A","40,71727","0,41633","POINT (0.41633 40.71727)","Finca del Sifonero","205","430770","Mas de Barberans","22","Montsià","43","Tarragona","1","XEMA","1","Desmantellada","17/11/1992","03/01/2011"
"DC","Olot - pla de Baix","A","42,19144","2,48263","POINT (2.48263 42.19144)","Heliport Mossos d'Esquadra","421.5","171143","Olot","19","Garrotxa","17","Girona","1","XEMA","1","Desmantellada","24/04/1998","21/07/2016"
"CP","Sant Romà d'Abella","A","42,13924","1,03893","POINT (1.03893 42.13924)","Sant Romà d'Abella - el Tossal","690","251155","Isona i Conca Dellà","25","Pallars Jussà","25","Lleida","1","XEMA","2","Operativa","20/05/1996",
"UU","Amposta","A","40,70776","0,6321","POINT (0.6321 40.70776)","IRTA - Estació Exp. Ebre, ctra. de Balada, s/n","3","430141","Amposta","22","Montsià","43","Tarragona","1","XEMA","2","Operativa","06/02/1992",
"WJ","el Masroig","A","41,1223","0,72182","POINT (0.72182 41.1223)","Finca Terranova","141","430825","El Masroig","29","Priorat","43","Tarragona","1","XEMA","2","Operativa","20/06/2000",
"WC","Golmés","A","41,63642","0,92446","POINT (0.92446 41.63642)","Partida Fogones","261","250997","Golmés","27","Pla d'Urgell","25","Lleida","1","XEMA","2","Operativa","08/08/2000",
"U3","Sant Martí Sarroca","A","41,37491","1,63032","POINT (1.63032 41.37491)","Mas Rabell de Fontenac","257","82270","Sant Martí Sarroca","3","Alt Penedès","8","Barcelona","1","XEMA","2","Operativa","24/05/1997",
"DE","Botarell","A","41,15404","0,99772","POINT (0.99772 41.15404)","Planta de compostatge","231","430332","Botarell","8","Baix Camp","43","Tarragona","1","XEMA","1","Desmantellada","16/01/1998","16/01/2007"
"DQ","Vila-rodona","A","41,30728","1,36259","POINT (1.36259 41.30728)","Nova estació","287","431704","Vila-rodona","1","Alt Camp","43","Tarragona","1","XEMA","2","Operativa","29/07/2005",
"CQ","Vilanova de Meià","A","41,99546","1,02569","POINT (1.02569 41.99546)","Camp de fútbol","594","252509","Vilanova de Meià","23","Noguera","25","Lleida","1","XEMA","2","Operativa","01/04/1996",
"X2","Barcelona - Zoo","A","41,38943","2,18847","POINT (2.18847 41.38943)","Zoo","7","80193","Barcelona","13","Barcelonès","8","Barcelona","1","XEMA","1","Desmantellada","22/09/2006","03/10/2024"
"C8","Cervera","A","41,67555","1,29609","POINT (1.29609 41.67555)","Abocador comarcal","554","250729","Cervera","32","Segarra","25","Lleida","1","XEMA","2","Operativa","27/10/1995",
